acquia/blt                                                11.2.0                  BLT
acquia/blt-require-dev                                    11.x-dev 3928d6c        A wrapper package...
acquia/content-hub-php                                    1.3.3                   A PHP Client libr...
acquia/drupal-spec-tool                                   v3.0.0                  A tool for specif...
acquia/lightning                                          4.1.2                   The best of Drupa...
acquia/memcache-settings                                  dev-master ef1efa5      Recommended Memca...
asm89/stack-cors                                          1.2.0                   Cross-origin reso...
behat/behat                                               v3.3.1                  Scenario-oriented...
behat/gherkin                                             v4.6.0                  Gherkin DSL parse...
behat/mink                                                v1.7.1                  Browser controlle...
behat/mink-browserkit-driver                              1.3.3                   Symfony2 BrowserK...
behat/mink-extension                                      2.3.1                   Mink extension fo...
behat/mink-goutte-driver                                  v1.2.1                  Goutte driver for...
behat/mink-selenium2-driver                               v1.3.1                  Selenium2 (WebDri...
behat/transliterator                                      v1.3.0                  String transliter...
bex/behat-extension-driver-locator                        1.0.2                   Driver locator to...
bex/behat-screenshot                                      1.2.8                   Extension for beh...
bower-asset/cropper                                       v2.3.4                 
bower-asset/dropzone                                      v5.5.0                 
bower-asset/jquery                                        3.4.1                  
bower-asset/slick-carousel                                v1.8.1                 
caxy/php-htmldiff                                         v0.1.9                  A library for com...
chi-teck/drupal-code-generator                            1.31.0                  Drupal code gener...
ckeditor/templates                                        4.10.1                 
clue/graph                                                v0.9.1                  GraPHP is the mat...
commerceguys/addressing                                   v1.0.6                  Addressing librar...
composer/ca-bundle                                        1.2.6                   Lets you find a p...
composer/installers                                       v1.7.0                  A multi-framework...
composer/semver                                           1.5.0                   Semver library th...
composer/xdebug-handler                                   1.4.0                   Restarts a proces...
consolidation/annotated-command                           2.12.0                  Initialize Symfon...
consolidation/comments                                    1.0.2                   A tool for preser...
consolidation/config                                      1.2.1                   Provide configura...
consolidation/filter-via-dot-access-data                  1.0.0                   This project uses...
consolidation/log                                         1.1.1                   Improved Psr-3 / ...
consolidation/output-formatters                           3.5.0                   Format text by ap...
consolidation/robo                                        1.4.11                  Modern task runner
consolidation/self-update                                 1.1.5                   Provides a self:u...
consolidation/site-alias                                  3.0.0                   Manage alias reco...
consolidation/site-process                                2.1.0                   A thin wrapper ar...
container-interop/container-interop                       1.2.0                   Promoting the int...
cweagans/composer-patches                                 1.6.7                   Provides a way to...
cweagans/php-webdam-client                                dev-master 8cca72b      Integrates with t...
dealerdirect/phpcodesniffer-composer-installer            v0.5.0                  PHP_CodeSniffer S...
defuse/php-encryption                                     v2.2.1                  Secure PHP Encryp...
dflydev/dot-access-data                                   v1.1.0                  Given a deep data...
disqus/disqus-php                                         1.0.2                   Disqus API bindin...
dmore/behat-chrome-extension                              1.3.0                   Behat extension f...
dmore/chrome-mink-driver                                  2.7.0                   Mink driver for c...
dnoegel/php-xdg-base-dir                                  v0.1.1                  implementation of...
doctrine/annotations                                      v1.4.0                  Docblock Annotati...
doctrine/cache                                            v1.6.2                  Caching library o...
doctrine/collections                                      v1.4.0                  Collections Abstr...
doctrine/common                                           v2.7.3                  Common Library fo...
doctrine/inflector                                        v1.2.0                  Common String Man...
doctrine/instantiator                                     1.3.0                   A small, lightwei...
doctrine/lexer                                            1.0.2                   PHP Doctrine Lexe...
drupal/access_unpublished                                 1.0.0-beta1             Grants access to ...
drupal/acquia_connector                                   1.16.0                  Allows Drupal web...
drupal/acquia_contenthub                                  1.45.0                  Module allowing D...
drupal/acquia_lift                                        3.10.0                  Provides integrat...
drupal/acquia_purge                                       1.0.0                   Top-notch cache i...
drupal/acquia_search                                      1.16.0                  Provides integrat...
drupal/address                                            1.7.0                   Provides function...
drupal/admin_toolbar                                      2.0.0                   Provides a drop-d...
drupal/adminimal_admin_toolbar                            1.10.0                  Adminimal styling...
drupal/adminimal_theme                                    1.5.0                   Drupal administra...
drupal/allowed_formats                                    1.2.0                   Limit which text ...
drupal/amp                                                1.2.0                   Google AMP integr...
drupal/ape                                                1.4.0                   Allows finer cont...
drupal/auto_entitylabel                                   2.1.0-beta1             Allows hiding of ...
drupal/autosave_form                                      1.1.0                   Adds autosave fea...
drupal/better_exposed_filters                             3.0.0-alpha5            Provides advanced...
drupal/bg_image_formatter                                 1.12.0                  This module provi...
drupal/blazy                                              2.0.0-rc6               Provides basic bL...
drupal/bootstrap                                          3.21.0                  Built to use Boot...
drupal/breakpoints                                        1.1.0                   Manage breakpoints
drupal/bulk_edit_terms                                    1.1.0                   Bulk edit terms i...
drupal/calendar                                           1.x-dev 1ef5b86         Provides a Views ...
drupal/calendar_datetime                                  1.x-dev                 Provides a calend...
drupal/captcha                                            1.0.0-beta4             The CAPTCHA modul...
drupal/cer                                                4.0.0-alpha2            Allows user to cr...
drupal/chosen                                             2.9.0                   Makes select elem...
drupal/chosen_lib                                         2.9.0                   This module provi...
drupal/ckeditor_liststyle                                 1.3.0                   This plugin adds ...
drupal/ckeditor_templates                                 1.1.0                   Integrates the CK...
drupal/ckeditor_templates_ui                              1.2.0                   Provide ui for ad...
drupal/coder                                              8.3.7                   Coder is a librar...
drupal/cog                                                1.13.0                  Acquia maintained...
drupal/components                                         1.1.0                   Registers “comp...
drupal/conditional_fields                                 1.0.0-alpha6            Conditional fields
drupal/config_filter                                      1.5.0                   Config Filter all...
drupal/config_ignore                                      2.2.0                   Ignore certain co...
drupal/config_installer                                   1.8.0                  
drupal/config_split                                       1.4.0                   Configuration fil...
drupal/config_update                                      1.6.0                   Provides basic re...
drupal/conflict                                           2.0.0-alpha1            Find merge confli...
drupal/consumers                                          1.9.0                   Declare all the c...
drupal/contact_storage                                    1.0.0                   Provides storage ...
drupal/contribute                                         5.0.0-beta3             Provides status r...
drupal/core                                               8.8.2                   Drupal is an open...
drupal/core-composer-scaffold                             8.8.2                   A flexible Compos...
drupal/core-recommended                                   8.8.2                   Locked core depen...
drupal/crop                                               2.0.0                   Provides storage ...
drupal/csv_serialization                                  1.4.0                   Provides CSV as a...
drupal/ctools                                             3.2.0                   Provides a number...
drupal/ctools_block                                       3.2.0                   Provides improvem...
drupal/current_page_crumb                                 1.2.0                   Adds the current ...
drupal/d8_google_optimize_hide_page                       1.2.0                   Adds the Google O...
drupal/date                                               1.x-dev b76414c        
drupal/deploy                                             1.0.0-beta14             Allows content t...
drupal/devel                                              2.1.0                   Various blocks, p...
drupal/diff                                               1.0.0                   Compares two enti...
drupal/disqus                                             1.0.0-rc3               .
drupal/draggableviews                                     1.2.0                   DraggableViews mo...
drupal/dropzonejs                                         2.0.0-alpha4            Drupal integratio...
drupal/drupal-driver                                      v1.4.0                  A collection of r...
drupal/drupal-extension                                   v3.4.1                  Drupal extension ...
drupal/duration_field                                     1.6.0                   Provides a new fi...
drupal/editor_advanced_link                               1.6.0                   Add title, target...
drupal/embed                                              1.3.0                   Provide a framewo...
drupal/entity                                             1.0.0-rc3               Provides expanded...
drupal/entity_block                                       1.0.0-beta2             Let site administ...
drupal/entity_browser                                     2.2.0                   Entity browsing a...
drupal/entity_browser_block                               1.1.0                   Derives block plu...
drupal/entity_embed                                       1.0.0                   Allows any entity...
drupal/entity_reference_revisions                         1.7.0                   Adds a Entity Ref...
